[2026-01-21 10:09:53,473]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2026-01-21 10:09:53,476]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2026-01-21 10:09:53,476]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2026-01-21 10:09:53,476]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2026-01-21 10:10:06,843]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2026-01-21 10:10:06,845]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2026-01-21 10:10:06,846]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2026-01-21 10:10:06,846]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2026-01-21 10:12:04,569]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2026-01-21 10:12:04,573]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2026-01-21 10:12:04,574]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2026-01-21 10:12:04,574]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
