TID: [2026-01-08 20:28:55,247]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2026-01-08 20:28:57,686] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2026-01-08 20:28:57,885] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 26.2, aarch64
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Library/Java/JavaVirtualMachines/temurin-17.jdk/Contents/Home
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 17.0.17
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 17.0.17+10,Eclipse Adoptium
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT/tmp
TID: [] [] [2026-01-08 20:28:57,886] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : udeepa, en-GB, Asia/Colombo
TID: [2026-01-08 20:28:58,723]  INFO {io.vertx.core.spi.resolver.ResolverProvider} - Using the default address resolver as the dns resolver could not be loaded {io.vertx.core.spi.resolver.ResolverProvider}
TID: [] [] [2026-01-08 20:29:00,397] []  INFO {org.apache.jasper.servlet.TldScanner} - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
TID: [] [] [2026-01-08 20:29:00,452] []  INFO {org.wso2.carbon.identity.openid4vc.presentation.internal.WalletAuthenticatorServiceComponent} - Wallet Authenticator activated successfully
TID: [] [] [2026-01-08 20:29:00,455] []  INFO {org.wso2.carbon.identity.openid4vc.presentation.internal.WalletServletRegistrationComponent} - Wallet Response Servlet registered successfully at: /wallet-callback
TID: [] [] [2026-01-08 20:29:00,456] []  INFO {org.wso2.carbon.identity.openid4vc.presentation.internal.WalletServletRegistrationComponent} - Wallet Status Servlet registered successfully at: /wallet-callback/status
TID: [] [] [2026-01-08 20:29:00,457] []  INFO {org.wso2.carbon.identity.openid4vc.presentation.internal.WalletServletRegistrationComponent} - Wallet Template Servlet registered successfully at: /wallet-callback/template
TID: [] [] [2026-01-08 20:29:03,319] []  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2026-01-08 20:29:03,811] []  INFO {org.apache.axis2.transport.mail.MailTransportSender} - MAILTO Sender started
TID: [] [] [2026-01-08 20:29:03,880] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : /Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT/repository/deployment/server/
TID: [] [] [2026-01-08 20:29:03,898] []  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2026-01-08 20:29:03,907] []  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2026-01-08 20:29:05,877] []  INFO {org.wso2.carbon.identity.configuration.mgt.core.ConfigurationManagerImpl} - Resource: ocspvalidator added successfully
TID: [] [] [2026-01-08 20:29:05,878] []  INFO {org.wso2.carbon.identity.configuration.mgt.core.ConfigurationManagerImpl} - Resource: crlvalidator added successfully
TID: [] [] [2026-01-08 20:29:06,010] []  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
#############################################################################

TID: [] [] [2026-01-08 20:29:06,029] []  WARN {org.wso2.carbon.identity.event.internal.IdentityEventServiceComponent} - Properties for IdentityFraudDetectorEventHandler is not configured. This event handler will not be activated
TID: [] [] [2026-01-08 20:29:07,421] []  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2026-01-08 20:29:07,630] []  INFO {org.opensaml.core.config.InitializationService} - Initializing OpenSAML using the Java Services API
